Titulo;Anio;Genero;Duracion;Reparto
A Estalagem Maldita;1939;Clássico, Aventura;89 minutos;Basil Radford,Charles Laughton,Clare Greet,George Curzon,Leslie Banks,Marie Ney,Maureen O' Hara,Robert Newton,Alfred Hitchcock
À Prova de Morte;2007;Suspense, Ação, Aventura;113 minutos;Eli Roth,Jordan Ladd,Kurt Russell,Mary Elizabeth Winstead,Quentin Tarantino,Rosario Dawson,Sydney Tamiia Poitier,Tracie Thoms,Quentin Tarantino
Gustavo Moura e Rafael - Ao Vivo em Goiânia;2013;Shows, Sertanejo;71 minutos;Gustavo Moura,Rafael,José Avelino
Era uma Vez no Oeste;1968;Clássico, Western;166 minutos;Charles Bronson,Claudia Cardinale,Frank Wolff,Henry Fonda,Jack Elam,Jason Robards,Lionel Stander,Woody Strode,Sergio Leone
Caminho do Vinho;2010;Comédia, Drama;98 minutos;Charlie Arturaola,Donato de Santis,Jean Bousquet,Marina Beltrame,Michel Rolland,Pandora Anwyl,Raúl Bianchi,Susana Balbo,Nicolás Carreras
A Mulher que Se Foi;2016;Drama;228 minutos;Charo Santos-Concio,John Lloyd Cruz,Mae Paner,Marjorie Lorico,Mayen Estanero,Michael De Mesa,Nonie Buencamino,Shamaine Buencamino,Lav Diaz
Sorriso Maroto - Sinais - No Estúdio;2009;Shows, Samba / Pagode;71 minutos;Bruno Cardoso,Cris Oliveira,Fred Araújo,Sérgio Jr.,Vinícius Augusto,Dante Belluti
Anina;2015;Animação, Aventura;78 minutos;César Troncoso,Cristina Morán,Federica Lacaño,Florencia Zabaleta,Gimena Fajardo,María Mendive,Petru Valenski,Roberto Suárez,Alfredo Soderguit
O Diabo Riu por Último;1953;Clássico, Ação, Aventura, Comédia;89 minutos;Edward Underdown,Gina Lollobrigida,Humphrey Bogart,Ivor Barnard,Jennifer Jones,Marco Tulli,Peter Lorre,Robert Morley,John Huston
Apesar de Tudo;2017;Drama, Romance, Suspense;93 minutos;Anthony Head,Antje Traue,Ben Batt,Charles Dance,Oliver Jackson-Cohen,Rebecca Ferguson,Sam Reid,Thure Lindhardt,Shamim Sharif
O Milagre;2015;Drama, Comédia, Romance;136 minutos;Ali Sürmeli,Büsra Pekin,Cezmi Baskin,Erdem Yener,Mahsun Kirmizigül,Meral Çetinkaya,Mert Turak,Senay Gürler,Mahsun Kirmizigül
Anjo Maldito;2008;Terror, Suspense;83 minutos;Bijou Phillips,Ioan Karamfilov,James Murray,Oliver Coopersmith,Owen Teale,Raphaël Coleman,Todd Jensen,Ty Glaser,Josef Rusnak
Um Chamado Especial;2014;Drama, Romance;95 minutos;Amber House,Ben Davies,Blakely Bunnell,Carson Cash,John Franklin Stephens,Sara Cicilian,Stacey Bradshaw,Donald Leow
PINBALL;2009;Curta-Metragem, Cinema;17 minutos;Ruy Veridiano,Ruy Veridiano
Feras que Foram Homens;1950;Clássico, Drama, Guerra;104 minutos;Claudette Colbert,Florence Desmond,Howard Chuman,Mark Keuning,Patric Knowles,Phyllis Morris,Sessue Hayakawa,Sylvia Andrew,Jean Negulesco
3 Palavrinhas - Volume 3;2016;Animação, Infantil, Infantil, Kids;27 minutos;Davi,Miguel,Sarah,Juliano Castro,Samuel Mizrahy
A Legista - Volume 1;2019;Policial;4 episódios;Andréa Ferréol,Bernard Yerlès,Émilie Lehuraux,Julie Depardieu,Quentin Baillot,Sara Martins,Sophie Le Tellier,Xavier Guelfi,Nicolas Guicheteau
Os Crimes de Limehouse;2016;Terror, Suspense;108 minutos;Bill Nighy,Daniel Mays,Douglas Booth,María Valverde,Michael Jenn,Olivia Cooke,Peter Sullivan,Sam Reid,Juan Carlos Medina
Família;2018;Comédia, Drama;85 minutos;Allison Tolman,Brian Tyree Henry,Jessie Ennis,Kate McKinnon,Matt Walsh,Peter Horton,Taylor Schilling,Laura Steinel
As Aventuras de Petey e Seus Amigos;2016;Animação, Infantil;73 minutos;Cutter Ray Palacios,James Larabee,Jeannie Tirado,Qian Feng,Troy Randal Smith,Lucas Qiao
Água é Vida;2003;Fé e Espiritualidade;44 minutos;Gabriel Bernardi,Maria Ida Cappellari
Na Boca do Povo - 1ª Temporada;2016;Documentário;8 episódios;Não Disponível,Sérgio Bloch
Micmacs - Um Plano Complicado;2009;Comédia, Ação, Policial;104 minutos;André Dussollier,Dany Boon,Jean-Pierre Marielle,Julie Ferrier,Marie-Julie Baup,Michel Crémadès,Nicolas Marié,Yolande Moreau,Jean-Pierre Jeunet
A Virada;2013;Drama;102 minutos;Callan Mulvey,Chad Smith,Colin Friels,Gwy McKenna,James Fraser,Megan Flamer,Michael MacKenzie,Nikita Leigh-Pritchard,Talei Howell-Price,Jonathan auf der Heide,Tony Ayres
A Bela da Tarde;1967;Clássico, Drama;99 minutos;Catherine Deneuve,Francisco Rabal,Françoise Fabian,Geneviève Page,Jean Sorel,Macha Méril,Michel Piccoli,Pierre Clémenti,Luis Buñuel
Jesse Stone - Perdido no Paraíso;2015;Policial, Drama;89 minutos;Alex Carter,Gloria Reuben,John Michael Higgins,Kohl Sudduth,Luke Perry,Mackenzie Foy,Tom Selleck,William Devane,Robert Harmon
Hitler em Cores;2005;Clássico, Biografia, Documentários;70 minutos;Brian Cox,Lutz Liebelt,David Batty
Charlie e Lola - 3ª Temporada;2007;Animação, Infantil;26 episódios;Clementine Cowell,Daniel Mayers,Morgan Gayle,Ryan Harris,Kitty Taylor
Por Que Eu?;2017;Drama, Fé e Espiritualidade;99 minutos;Doron Ben-David,Haim Zanati,Imri Biton,Maya Flamm,Michael Harpaz,Moriya Ben Harush,Ohad Shahar,Shalom Shmuelov,Doron Eran
Pais;2016;Suspense, Drama;85 minutos;Anton Honik,Bodil Jørgensen,Christian Tafdrup,Elliott Crosset Hove,Emilia Imperatore Bjørnvad,Miri Ann Beuschel,Søren Malling,Christian Tafdrup
Soldado do Futuro;2013;Ficção Científica, Ação;90 minutos;Caity Lotz,Denis Lawson,Helen Griffin,John-Paul Macleod,Pooneh Hajimohammadi,Sam Hazeldine,Siwan Morris,Toby Stephens,Caradog W. James
Júlio César;1953;Drama, Biografia, Clássico;121 minutos;Deborah Kerr,Edmond O'brien,George Macready,Greer Garson,James Mason,Louis Calhern,Marlon Brando,Joseph L. Mankiewicz
Noite Sem Fim;2015;Ação, Policial;114 minutos;Boyd Holbrook,Bruce McGill,Common,Genesis Rodriguez,Holt McCallany,Joel Kinnaman,Liam Neeson,Vincent D'Onofrio,Jaume Collet-Serra
Dunga PHN - Por Hoje Não Vou Mais Pecar;2014;Shows, Católico, Fé e Espiritualidade;84 minutos;Dunga,Carlos Eduardo da Silva
Las Pildoras de mi Novio;2020;Comédia;100 minutos;Ana Belena,Brian Baumgartner,Jaime Camil,Jason Alexander,Luis Arrieta,Marco Antonio Aguirre,Pamela Almanza,Sandra Echeverría,Diego Kaplan
O Vigilante do Amanhã: Ghost In The Shell - O Homem Risonho;2005;Animação, Ação;159 minutos;Alison Matthews,Brian Drummond,David Kaye,Mark Gibbon,Michael Adamthwaite,Nicole Bouma,Russell Roberts,Trevor Devall,Kenji Kamiyama
Vingança Entre Assassinos;2009;Ação, Suspense;95 minutos;Craig Conway,Ian Somerhalder,John Lynch,Kelly Hu,Liam Cunningham,Robert Carlyle,Sebastien Foucan,Ving Rhames,Scott Mann
Super 4 - 1ª Temporada;2014;Animação, Infantil;50 episódios;Alyson Leigh Rosenfeld,Billy Bob Thompson,Jason Griffith,Jordan Carlos,Mike Pollock,Sarah Natochenny,Tom Wayland,Tyler Bunch,Arnaud Bouron,Cyril Adam
Turma da Mônica - Cine Gibi - Volume 2;2005;Animação, Infantil;7 episódios;Angélica Santos,Dirceu Aparecido de Oliveira,Elza Gonçalves,Elza Soares,João Boy,José Márcio Nicolosi,Marcelo Sousa,Márcio Araújo,Marli Bortoletto,Mauricio de Sousa,Paulo Cavalcante,Sibele Toledo,Mauricio de Sousa
Thor - O Filho de Asgard;2011;Animação, Infantil;76 minutos;Alistair Abell,Brent Chapman,Chris Britton,Mark Acheson,Matthew Wolf,Paul Dobson,Rick Gomez,Tara Strong,Sam Liu
Trolls 2;2020;Animação, Aventura, Comédia, Infantil;90 minutos;Anna Kendrick,J Balvin,James Corden,Justin Timberlake,Kenan Thompson,Kunal Nayyar,Mary J. Blige,Rachel Bloom,Ron Funches,Sam Rockwell,David P. Smith,Walt Dohrn
Bob Zoom - Volume 7;2016;Infantil, Música;25 minutos;Não Disponível,Marcos Mello,Oswaldo Braz
Gugu Para Crianças;2002;Shows, Pop Nacional;41 minutos;Bárbara Constantino Araújo,Gabriel Saraiva,Giovanna Jully,Gugu Liberato,Gustavo Zanela,Guto Campos,João Elias
Dinossauro Rei - 1ª Temporada;2007;Animação, Infantil;26 episódios;Darren Dunstan,Eric Stuart,Kether Donohue,Laurent Vernin,Madeleine Blaustein,Sean Schemmel,Sebastian Arcelus,Veronica Taylor,Katsuyoshi Yatabe
Luz de Soledad;2016;Drama, Biografia, Fé e Espiritualidade;106 minutos;Ainhoa Aldanondo,Carlos Cañas,Elvira Arce,Federico Alonso,Gladys Balaguer,Inés Acebes,Lolita Flores,Lucía Barrado,Pablo Moreno
Rock Para Jesus;2019;Drama, Fé e Espiritualidade;124 minutos;Emmalee Parker,Joel Jackson,Joshua Nathan Sears,Kristina L. Ives,Rocco Jones,Shelby Taylor Mullins,Joel Jackson
E Deus Criou a Mulher;1956;Clássico, Romance;91 minutos;Brigitte Bardot,Curd Jürgens,Isabelle Corey,Jacqueline Ventura,Jane Marken,Jean Tissier,Jean-Louis Trintignant,Paul Faivre,Roger Vadim
Dino - O Dinossauro - Volume 1;2016;Animação, Infantil;10 episódios;Edu Oliveira,Arthur Lener
Bebê Mais - Música;2002;Infantil, Animação;34 minutos;Bach,Beethoven,Chopin,Mozart,Adriano Civita
Big Pai, Big Filho;2017;Animação, Comédia;91 minutos;Bob Barlen,Cal Brunker,Cinda Adams,David Epstein,Kirk Thornton,Mari Devon,Pappy Faulkner,Sandy Fox,Ben Stassen,Jérémie Degruson
